0, options [nop,nop,TS val 3359381028 ecr 484858293,nop,nop,sack 3 {2089:2125}{1657:2017}{1477:1621}], length 284
22:46:05.724514 IP 165.22.226.250.ssh > 66-11-178-156.cpe.distributel.net.52947: Flags [P.], seq 3539124:3539408, ack 1405, win 2040, options [nop,nop,TS val 3359381028 ecr 484858293,nop,nop,sack 3 {2089:2125}{1657:2017}{1477:1621}], length 284
22:46:05.724610 IP 165.22.226.250.ssh > 66-11-178-156.cpe.distributel.net.52947: Flags [P.], seq 3539408:3539692, ack 1405, win 2040, options [nop,nop,TS val 3359381028 ecr 484858293,nop,nop,sack 3 {2089:2125}{1657:2017}{1477:1621}], length 284
22:46:05.724712 IP 165.22.226.250.ssh > 66-11-178-156.cpe.distributel.net.52947: Flags [P.], seq 3539692:3539976, ack 1405, win 2040, options [nop,nop,TS val 3359381028 ecr 484858293,nop,nop,sack 3 {2089:2125}{1657:2017}{1477:1621}], length 284
22:46:05.724817 IP 165.22.226.250.ssh > 66-11-178-156.cpe.distributel.net.52947: Flags [P.], seq 3539976:3540260, ack 1405, win 2040, options [nop,nop,TS val 3359381028 ecr 484858293,nop,nop,sack 3 {2089:2125}{1657:2017}{1477:1621}], length 284
22:46:05.724909 IP 165.22.226.250.ssh > 66-11-178-156.cpe.distributel.net.52947: Flags [P.], seq 3540260:3540544, ack 1405, win 2040, options [nop,nop,TS val 3359381028 ecr 484858293,nop,nop,sack 3 {2089:2125}{1657:2017}{1477:1621}], length 284
22:46:05.725001 IP 165.22.226.250.ssh > 66-11-178-156.cpe.distributel.net.52947: Flags [P.], seq 3540544:3540828, ack 1405, win 2040, options [nop,nop,TS val 3359381028 ecr 484858293,nop,nop,sack 3 {2089:2125}{1657:2017}{1477:1621}], length 284
22:46:05.725095 IP 165.22.226.250.ssh > 66-11-178-156.cpe.distributel.net.52947: Flags [P.], seq 3540828:3541112, ack 1405, win 2040, options [nop,nop,TS val 3359381028 ecr 484858293,nop,nop,sack 3 {2089:2125}{1657:2017}{1477:1621}], length 284
22:46:05.725178 IP 165.22.226.250.ssh > 66-11-178-156.cpe.distributel.net.52947: Flags [P.], seq 3541112:3541396, ack 1405, win 2040, options [nop,nop,TS val 3359381028 ecr 484858293,nop,nop,sack 3 {2089:2125}{1657:2017}{1477:1621}], length 284
22:46:05.725276 IP 165.22.226.250.ssh > 66-11-178-156.cpe.distributel.net.52947: Flags [P.], seq 3541396:3541680, ack 1405, win 2040, options [nop,nop,TS val 3359381028 ecr 484858293,nop,nop,sack 3 {2089:2125}{1657:2017}{1477:1621}], length 284
22:46:05.725359 IP 165.22.226.250.ssh > 66-11-178-156.cpe.distributel.net.52947: Flags [P.], seq 3541680:3541964, ack 1405, win 2040, options [nop,nop,TS val 3359381028 ecr 484858293,nop,nop,sack 3 {2089:2125}{1657:2017}{1477:1621}], length 284
22:46:05.725474 IP 165.22.226.250.ssh > 66-11-178-156.cpe.distributel.net.52947: Flags [P.], seq 3541964:3542248, ack 1405, win 2040, options [nop,nop,TS val 3359381029 ecr 484858293,nop,nop,sack 3 {2089:2125}{1657:2017}{1477:1621}], length 284
