165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10253632:10253876, ack 5941, win 1972, options [nop,nop,TS val 3359211401 ecr 484692681,nop,nop,sack 1 {5977:6085}], length 244
22:43:16.097495 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10253876:10254120, ack 5941, win 1972, options [nop,nop,TS val 3359211401 ecr 484692681,nop,nop,sack 1 {5977:6085}], length 244
22:43:16.097574 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10254120:10254364, ack 5941, win 1972, options [nop,nop,TS val 3359211401 ecr 484692681,nop,nop,sack 1 {5977:6085}], length 244
22:43:16.097688 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10254364:10254608, ack 5941, win 1972, options [nop,nop,TS val 3359211401 ecr 484692681,nop,nop,sack 1 {5977:6085}], length 244
22:43:16.097801 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10254608:10254852, ack 5941, win 1972, options [nop,nop,TS val 3359211401 ecr 484692681,nop,nop,sack 1 {5977:6085}], length 244
22:43:16.097877 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10254852:10255096, ack 5941, win 1972, options [nop,nop,TS val 3359211401 ecr 484692681,nop,nop,sack 1 {5977:6085}], length 244
22:43:16.097990 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10255096:10255340, ack 5941, win 1972, options [nop,nop,TS val 3359211401 ecr 484692681,nop,nop,sack 1 {5977:6085}], length 244
22:43:16.098087 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10255340:10255584, ack 5941, win 1972, options [nop,nop,TS val 3359211401 ecr 484692681,nop,nop,sack 1 {5977:6085}], length 244
22:43:16.098176 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10255584:10255828, ack 5941, win 1972, options [nop,nop,TS val 3359211401 ecr 484692681,nop,nop,sack 1 {5977:6085}], length 244
22:43:16.098241 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10255828:10256072, ack 5941, win 1972, options [nop,nop,TS val 3359211401 ecr 484692681,nop,nop,sack 1 {5977:6085}], length 244
22:43:16.098309 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10256072:10256316, ack 5941, win 1972, options [nop,nop,TS val 3359211401 ecr 484692681,nop,nop,sack 1 {5977:6085}], length 244
